1;8713;19;DIC;2017;41;BRA;248.949997;1
2;15726;27;ABR;2016;44;MEX;283.750000;1
3;2504;15;ABR;2019;27;MEX;207.016663;1
4;5617;26;FEB;2021;40;MEX;232.383331;1
5;12955;12;AGO;2017;51;MEX;268.966675;1
6;23003;7;DIC;2019;18;MEX;408.333344;1
7;4447;22;MAY;2016;42;MEX;223.050003;1
8;13184;22;AGO;2017;31;PER;271.366669;1
9;8622;30;DIC;2017;20;MEX;244.883331;1
10;20137;30;MAR;2018;72;ARG;321.866669;1
11;13834;9;FEB;2016;46;MEX;273.516663;1
12;5817;18;DIC;2016;49;MEX;234.316666;1
13;7728;27;AGO;2019;34;MEX;240.683334;1
14;17523;5;MAY;2021;47;PER;295.516663;1
15;21900;29;ENE;2018;33;PER;347.633331;1
16;2660;13;SEP;2019;33;ARG;211.699997;1
17;5051;20;MAR;2021;41;PER;228.966660;1
18;13294;16;ENE;2017;56;BRA;273.066681;1
19;4092;15;OCT;2015;37;MEX;222.949997;1
20;16579;20;OCT;2016;27;MEX;288.783325;1
21;9494;11;NOV;2019;26;MEX;253.566666;1
22;13736;17;AGO;2015;28;BRA;274.283325;1
23;645;26;ENE;2018;34;ARG;182.766663;1
24;4418;4;DIC;2021;46;BRA;224.649994;1
25;6645;28;NOV;2018;42;MEX;238.250000;1
26;18650;6;FEB;2020;22;MEX;304.833344;1
27;18434;23;ABR;2016;50;PER;301.000000;1
28;20980;12;ABR;2017;41;PER;333.583344;1
